Drone Name,Category,Flight Radius (km),maximum flight height,Day/Night Operation,Max Daily Flights,Wind Resistance (m/s),Battery Life (minutes),Payload Capacity (kg),Temperature Resistance,Humidity Resistance,IP Rating,Camera Resolution (MP),Thermal Camera Resolution (MP),Real-Time Data Streaming,Scalability,Infrared/Night Vision Capability,Sensor Type,Resolution,Detection Range,Special Features,Price (EUR),Maintenance Cost (EUR)
DJI Matrice 300 RTK,Industrial & Surveillance,15,7000,Night capable,55,12,55,2.7,-20°C to 50°C,Not specified,IP45,20,0.33,Yes,High,Yes,IR10 Infrared Laser,808nm wavelength,1000m,70x optical zoom, synchronized with Zenmuse cameras,13000,500
DJI Mavic 3 Enterprise,Industrial & Surveillance,32,6000,Night capable,45,12,45,0,-10°C to 40°C,Not specified,Not rated,48,,Yes,Moderate,Yes,Thermal Imaging,640×512,Variable,56x hybrid zoom, night scene mode,5000,200
DJI Phantom 4 RTK,Industrial & Surveillance,1,6000,Day only,30,18,30,0,0°C to 40°C,Not specified,Not rated,20,,No,High,Limited,Starlight Sensor,20MP,Low-light optimized,Vision positioning, GNSS-enabled,6000,250
Parrot Anafi USA,Industrial & Surveillance,4,6000,Night capable,32,14.7,32,0.644,-35°C to 43°C,Not specified,IP53,21,0.08,Yes,Moderate,Yes,FLIR Boson Thermal,320×256,40m,32x zoom, encrypted data storage,7000,300
Parrot Bebop-Pro Thermal,Industrial & Surveillance,2,120,Night capable,25,10,25,0,Not specified,Not specified,Not rated,14,0.02,Yes,Low,Yes,FLIR ONE Pro,160×120,10-160°C range,3 color palettes, live streaming,4000,150
Autel Evo II Dual 640T,Industrial & Surveillance,9,7000,Night capable,38,20,38,0.9,-10°C to 40°C,Not specified,Not rated,48,0.33,Yes,High,Yes,Uncooled VOx Microbolometer,640×512,2889m,16x digital zoom, multiple temperature modes,9000,400
Autel Dragonfish,Industrial & Surveillance,45,6000,Night capable,120,12,179,2.2,-20°C to 50°C,Not specified,IP43,50,1.31,Yes,Very High,Yes,MWIR Sensor,High-res thermal,Long-range,AI tracking, silent flight,15000,600
Yuneec H520E RTK,Industrial & Surveillance,40,500,Night capable,28,20,30,1.5,0°C to 40°C,Not specified,Not rated,20,,No,Moderate,Yes,Dual Thermal Camera,640×512,Adjustable,Pixel-accurate overlay, night vision,8000,350
Yuneec Typhoon H Plus,Industrial & Surveillance,1.6,500,Day only,25,15.6,25,1.9,0°C to 40°C,Not specified,Not rated,20,,No,Low,Limited,Low-light CMOS,20MP,Low-light optimized,360° gimbal rotation, Intel RealSense,7500,300
SenseFly eBee X,Industrial & Surveillance,55,5000,Night capable,90,12.8,90,0.8,-10°C to 40°C,Not specified,IP54,20,0.33,No,Very High,Yes,Duet T Thermal,640×512,High-altitude optimized,Geo-accurate thermal mapping,12000,450
DJI Agras T30,Environmental & Pollution Monitoring,10,4500,Night capable,40,6,"7.8 (full payload) / 20.5 (no payload)",10,Not specified,Not specified,Not rated,,,Yes,Moderate,No,N/A,N/A,N/A,Agricultural drone, optimized for spraying,15000,700
DJI Mavic 2 Enterprise Advanced,Environmental & Pollution Monitoring,10,6000,Night capable,31,10,31,0.19,-10°C to 40°C,Not specified,Not rated,48,0.33,Yes,High,Yes,Thermal & Visual,640×512,Spot & area measurement,32x zoom, centimeter-level RTK,6000,250
Parrot Disco-Pro AG,Environmental & Pollution Monitoring,0.1,120,Day only,80,10.7,30,0.94,Not specified,Not specified,Not rated,14,,Yes,Moderate,No,N/A,N/A,N/A,Multispectral sensor for agriculture,5000,200
Quantum Systems Trinity F90+,Environmental & Pollution Monitoring,100,4500,Day only,90,12,90+,1.0,-12°C to 50°C,Not specified,Not rated,42,,No,Very High,No,N/A,N/A,N/A,Fixed-wing mapping drone,25000,800
WingtraOne GEN II,Environmental & Pollution Monitoring,55,5000,Night capable,59,12,59,0.8,-10°C to 40°C,Not specified,IP54,61,0,No,Very High,No,N/A,N/A,N/A,High-precision mapping drone,18000,600
Delair UX11,Environmental & Pollution Monitoring,1.2,6000,Night capable,80,12.5,80,1.2,Not specified,Not specified,Not rated,21,,No,High,Yes,IR Sensor,High-res thermal,Tactical optimized,3G/4G connectivity, BVLOS-ready,14000,550
Microdrones mdLiDAR1000HR,Environmental & Pollution Monitoring,35,60,Day only,38,8,40,1.0,-10°C to 40°C,Not specified,Not rated,,,No,N/A,N/A,N/A,LiDAR mapping drone,16000,500
Flyability Elios 3,Environmental & Pollution Monitoring,0.5,38,Night capable,26,7,10,0.5,Not specified,Not specified,Not rated,4,0.02,Yes,Moderate,Yes,LiDAR & Thermal,High-res thermal,Indoor optimized,SLAM-based stabilization, 3D mapping,12000,450
Skyfront Perimeter 8,Environmental & Pollution Monitoring,216,4000,Night capable,5,11.2,300 (5+ hours),10,-10°C to 50°C,Not specified,Not rated,,,Yes,Very High,Yes,FLIR Duo Pro R,640×512,Long-range,Hybrid gas-electric, extended endurance,30000,1000
Acecore Zoe,Environmental & Pollution Monitoring,,16000,Night capable,47,18,47,13,-15°C to 50°C,Not specified,Not rated,60,,Yes,Moderate,Yes,Thermal Payload,Variable,Customizable,Modular payload bay, RTK GNSS,22000,700
DJI FPV Drone,Port Security & Ship Inspections,4,500,Day only,20,12,20,0,Not specified,Not specified,Not rated,12,,Yes,Low,No,N/A,N/A,N/A,FPV racing drone, no thermal,1500,100
Parrot Anafi Thermal,Port Security & Ship Inspections,4,6000,Night capable,26,13.8,25,0,Not specified,Not specified,Not rated,21,0.08,Yes,Moderate,Yes,FLIR Lepton 3.5,160×120,-10°C to 400°C,Radiometric thermal imaging, 4K HDR,7000,300
Autel Evo II Pro,Port Security & Ship Inspections,9,7000,Night capable,40,15,40,0.8,-10°C to 40°C,Not specified,IP43 (Smart Controller),48,,Yes,High,Limited,Moonlight Algorithm,20MP,Low-light optimized,1-inch CMOS, AI-enhanced night vision,9000,400
Yuneec H850 RTK,Port Security & Ship Inspections,40,500,Night capable,35,15,35,2.0,-20°C to 50°C,Not specified,IPX4,20,,No,High,Yes,E20TVX Thermal,640×512,RTK-enabled,Dual IMU, RTK antennas,8000,350
SenseFly eBee TAC,Port Security & Ship Inspections,40,5000,Day only,90,12,90,0.8,Not specified,Not specified,Not rated,20,,No,Very High,Yes,Duet T Thermal,640×512,Tactical optimized,Silent radio mission, encrypted SD,12000,450
Sky-Drones SmartAP,Port Security & Ship Inspections,5,6000,Night capable,50,10,40,1.0,Not specified,Not specified,Not rated,,,No,N/A,N/A,N/A,AI-powered flight control system,7000,300
Blue Vigil Autonomous Tethered Drone,Port Security & Ship Inspections,8,150,Night capable,Unlimited,8,Unlimited (tethered power),0,Not specified,Not specified,Not rated,,,No,N/A,N/A,N/A,Persistent aerial surveillance,6000,250
Hexadrone Tundra,Port Security & Ship Inspections,5,5000,Night capable,30,12,30,2.5,Not specified,Not specified,Not rated,,,No,N/A,N/A,N/A,Modular industrial drone,7500,350
UVify Draco,Port Security & Ship Inspections,3,500,Day only,25,10,15,0,Not specified,Not specified,Not rated,,,No,N/A,N/A,N/A,FPV racing drone, no thermal,4000,150
AeroVironment Quantix Recon,Port Security & Ship Inspections,5,5000,Day only,45,12,45,1.0,Not specified,Not specified,Not rated,18,,No,N/A,N/A,N/A,Tactical reconnaissance drone,8500,400
